Subject,Dice,IoU,Precision,Recall,Accuracy,Specificity
s0002.png,0.9468675654235837,0.8990963855409377,0.9561735585309317,0.9377409681551653,0.9922306557030369,0.9965739781689568
s0004.png,0.0,0.0,0.0,0.0,0.8940959307930554,0.9946974805368426
s0006.png,0.8953812771226787,0.8105794864588037,0.9005455962573647,0.890275851439528,0.9858998997325173,0.9928519410676161
s0007.png,0.9243282763654502,0.8593033135074608,0.9194545454528738,0.9292539507516919,0.9900747986189837,0.9943192018669701
s0008.png,0.9206781971535138,0.8530154720542263,0.9447455848908118,0.8978065802577305,0.9895604395603286,0.9962001875855564
s0009.png,0.9299536658481602,0.8690779419241483,0.9228272628905106,0.937190990659335,0.9898412280122552,0.9939233892720855
s0010.png,0.9336003697420014,0.8754695174792322,0.9559867486970248,0.9122384464836486,0.9906933557900941,0.9967550215749199
s0011.png,0.9239383237135637,0.8586295228932779,0.9397231470107943,0.9086750254135739,0.9889362235307619,0.9953455647560487
s0012.png,0.8437568736704716,0.7297400126813827,0.8722146430182323,0.817097415505798,0.978951839121234,0.9910511454108203
s0013.png,0.9410444411185537,0.88865338420109,0.9679852239480253,0.9155626728768154,0.99097985347974,0.9974158601581546
s0014.png,0.9455777303181784,0.8967732923580154,0.955214997766768,0.9361329833757128,0.9922751267442647,0.9966106275405096
s0015.png,0.858723718184538,0.7524240465407208,0.9616655651008564,0.775689724109322,0.9784754068877598,0.9971521512304674
s0016.png,0.9303294206734,0.86973451327331,0.9306818181806431,0.9299772899306965,0.9871683113078109,0.9929715404999305
s0017.png,0.7596801346793353,0.6124872751940745,0.9470094438590058,0.6342234715378878,0.9768568243995362,0.9978279102775331
s0018.png,0.9526921244292745,0.9096581307670484,0.9615278922767773,0.9440172669621691,0.9917732007574583,0.9963667977213339
s0019.png,0.9311976097593732,0.8712533002005416,0.9531090723735082,0.9102709719277783,0.9905863917150038,0.9966300777767064
s0020.png,0.9448383437316046,0.8954441607298812,0.9422995333037162,0.9473908716039423,0.9909271137025084,0.9948168756430003
s0021.png,0.912569758170863,0.8391984359712623,0.9089465325553046,0.9162219850570683,0.98967227523847,0.994263224601317
s0022.png,0.9332907756136822,0.8749251944930058,0.9626337448543825,0.9056837540639529,0.990777716491893,0.9973038138561404
s0023.png,0.9402948402942627,0.8873174124728873,0.9492744635979793,0.9314835097956291,0.9900546380992296,0.9954310354456701
s0024.png,0.8970688479880742,0.8133498145842329,0.9202797202775751,0.8749999999980608,0.9885310648639186,0.995408409859702
s0025.png,0.9213860479309102,0.8542315312753266,0.935523868566436,0.9076691729309659,0.9880189370585923,0.9947553549589638
s0026.png,0.9245301392531653,0.859652299889787,0.9424260472484765,0.9073012232398561,0.9903296648447768,0.9961286877585107
s0027.png,0.909695290853686,0.8343495934874557,0.9152731326542333,0.9041850220164738,0.9976083224508095,0.9988698044462787
s0028.png,0.9315686569401928,0.8719031531519258,0.9273843389715116,0.9357909049691255,0.9889576507704176,0.9936008233166216
s0029.png,0.1878674505609462,0.10367202477495403,0.9683195592153124,0.10402485942571171,0.9269225220024856,0.999699008035046
s0030.png,0.9237842255814018,0.8583633947202234,0.9298642533917527,0.917783191228344,0.991633676135679,0.9959520898373718
s0033.png,0.9529232602787837,0.9100796762350954,0.9607476635501192,0.945225272558853,0.9915373262234585,0.9961519835607245
s0044.png,0.9375565610853202,0.8824531516172422,0.9144486692002791,0.9618625910570463,0.988348530901594,0.990998071015076
s0045.png,0.8656271354905475,0.7630887185095694,0.9022274022262339,0.831880597013932,0.9757934553918063,0.9906768254280646
