Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC,CV_F1_Mean,CV_F1_STD
Logistic Regression,0.975609756097561,1.0,0.5,0.6666666666666666,0.9358974358974359,0.67,0.18867962264113208
SVM,0.975609756097561,1.0,0.5,0.6666666666666666,0.8461538461538461,0.6166666666666666,0.09999999999999999
KNN,0.975609756097561,1.0,0.5,0.6666666666666666,0.7435897435897435,0.8666666666666666,0.16329931618554522
Random Forest,0.975609756097561,1.0,0.5,0.6666666666666666,0.9230769230769231,0.8333333333333333,0.21081851067789195
Gradient Boosting,0.975609756097561,1.0,0.5,0.6666666666666666,0.7435897435897435,0.7980952380952381,0.12554100612025967
