Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
KNN,0.9891463414634147,0.014098426000973933,0.98,0.13999999999999999,0.82,0.2423037579384833,0.8766666666666666,0.18859126879754182,0.91390350877193,0.11938271809395774
Random Forest,0.9817073170731709,0.01768671111735366,0.8786666666666666,0.20917934888511344,0.8333333333333333,0.23333333333333334,0.8312857142857142,0.1867310445351744,0.956798245614035,0.07286149145824039
Gradient Boosting,0.9707804878048782,0.02264153054485152,0.7827142857142857,0.24050155924650468,0.8333333333333333,0.23333333333333334,0.7680317460317461,0.17562608302312285,0.9128947368421053,0.11932246271228839
Logistic Regression,0.9560243902439024,0.02975875637861342,0.6672857142857143,0.24407946830504315,0.8333333333333333,0.23333333333333334,0.7007460317460317,0.1777787280303402,0.9767543859649122,0.0309544736641998
SVM,0.9485243902439024,0.03436560482175485,0.588047619047619,0.3144384513422932,0.6866666666666665,0.3343982987729187,0.5967936507936507,0.2699802144612718,0.94,0.0841439795539036
