Dataset,Model,Samples,Normal,Delayed,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
Original,Logistic Regression,192,190,2,0.9390625,0.032820766154558645,0.0,0.0,0.0,0.0,0.0,0.0,0.7921052631578948,0.06314692887258083
Original,KNN,192,190,2,0.9895833333333333,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.46736842105263154,0.018125447744971122
Original,Random Forest,192,190,2,0.9802083333333332,0.013936550166937157,0.0,0.0,0.0,0.0,0.0,0.0,0.783157894736842,0.06788453615741569
Original,Gradient Boosting,192,190,2,0.9770833333333334,0.015659683727471795,0.0,0.0,0.0,0.0,0.0,0.0,0.48184210526315796,0.011346347967005312
GAN Augmented,Logistic Regression,202,190,12,0.9643564356435643,0.017544599155118162,0.7149494949494949,0.17659674916174484,0.8333333333333333,0.10540925533894598,0.7469900197841375,0.07920560876002074,0.9793859649122807,0.013056627854564696
GAN Augmented,KNN,202,190,12,0.9846534653465346,0.009637585313827626,1.0,0.0,0.7416666666666667,0.1622326861160982,0.8415151515151515,0.10953235597953653,0.913421052631579,0.05320744896556505
GAN Augmented,Random Forest,202,190,12,0.9801980198019804,0.014347897768504408,0.8700396825396826,0.15401158672663867,0.8333333333333333,0.10540925533894598,0.839060522810523,0.0959961252015565,0.9641228070175438,0.03025222278919826
GAN Augmented,Gradient Boosting,202,190,12,0.97029702970297,0.021691982475452114,0.776747557997558,0.21472666620699907,0.7916666666666667,0.1738054467884518,0.7671949979844717,0.15940631096189462,0.9078947368421055,0.048154619132520324
