Model,Accuracy_Change,Precision_Change,Recall_Change,F1_Change,ROC_AUC_Change
Logistic Regression,0.025293935643564303,0.7149494949494949,0.8333333333333333,0.7469900197841375,0.18728070175438594
KNN,-0.0049298679867986195,1.0,0.7416666666666667,0.8415151515151515,0.4460526315789475
Random Forest,-1.0313531352834637e-05,0.8700396825396826,0.8333333333333333,0.839060522810523,0.18096491228070177
Gradient Boosting,-0.006786303630363366,0.776747557997558,0.7916666666666667,0.7671949979844717,0.42605263157894757
