PC1,PC2,Subject,Class
15.903616712720991,18.976626370704366,s0001,normal
7.189744828319771,3.4230367732465026,s0002,normal
-10.162086832220389,-19.575405870740063,s0003,normal
-3.347244303076543,4.260381171152142,s0004,normal
-10.101634274150172,-1.7753138455432451,s0005,normal
4.836527564215326,6.364172131439906,s0006,normal
7.699819139003244,-3.477535365929229,s0007,normal
-1.2181877206864542,7.568058986384099,s0008,normal
5.494454190512002,4.357837275676899,s0009,normal
6.934533476810329,-2.4717992792836143,s0010,normal
7.825389842857461,-1.5025729060796253,s0011,normal
0.9430221049737932,6.784605164648067,s0012,normal
2.7230754543691567,2.3971259103779343,s0013,normal
-5.732530233934926,13.134552938107444,s0014,normal
0.6054537078239378,2.3398683818897466,s0015,normal
7.956587484318444,5.960069988461026,s0016,normal
4.268939154238721,0.21793600494659834,s0017,normal
-2.642385968677236,8.38055673103194,s0018,normal
-1.4242235989559853,6.816571672310688,s0019,normal
11.438525750498757,-1.4075561058393165,s0020,normal
0.029442703372510644,0.8396467698314625,s0021,normal
15.789703210959612,-0.21547111339637073,s0022,normal
8.14463474180672,0.885179366731708,s0023,normal
7.777390630878534,-0.751695348173752,s0024,normal
-0.3625331970834759,5.149285756734172,s0025,normal
7.837123624438962,-0.22763778281092367,s0026,normal
-5.289404947619154,1.5293608890335182,s0027,normal
1.1964125006325932,5.438685369390159,s0028,normal
-5.23643068452683,-1.3998645236327287,s0029,normal
-10.666368203909284,7.833337694564009,s0030,normal
-3.087324223896936,9.268761068759321,s0031,normal
0.7577918323105857,-11.718229260836571,s0032,normal
-4.155248431854373,11.650141233949338,s0033,normal
-14.419664599945502,-4.783119696330458,s0035,normal
1.5259473684863483,2.5358342928288917,s0036,normal
-8.125412249999385,1.8925484706065026,s0037,normal
9.564132982606605,2.745432404651657,s0038,normal
17.663831019415525,-5.145130287807329,s0039,normal
-0.29003846100099295,8.473278572356417,s0040,normal
3.9288142085947944,-7.73157744500049,s0041,normal
-4.307324487754475,1.2707309266223221,s0042,normal
-9.395416594126624,7.494958923243547,s0043,normal
-3.21228160580258,12.88816926682739,s0044,normal
1.2805985900411931,9.42843141403597,s0045,normal
-7.132889372775861,-1.7621389302658126,s0046,normal
6.112053476199121,-4.565484413417813,s0047,normal
-5.407400943382804,4.284748647724544,s0048,normal
3.3027588975038022,3.2645687365506735,s0049,normal
8.741845924361611,-12.951427793296242,s0050,normal
12.301420242970304,-19.03885059011349,s0051,normal
0.09494148374475199,7.585775891154382,s0052,normal
1.5639798534048492,10.135948162267047,s0053,normal
5.74048955248402,-3.536352379221101,s0054,normal
-8.235327701986131,5.917394291960866,s0055,normal
10.622662762812316,-0.1056689543203545,s0056,normal
-0.47669701702765716,6.312822560870558,s0057,normal
3.1365210670778816,2.0994435729576226,s0058,normal
-5.742610893505656,-3.2118031444852773,s0059,normal
-3.95014824772646,5.680184270199992,s0061,normal
-1.369606300142132,-9.689209175347958,s0062,normal
-1.0390671607924122,9.456132312686162,s0063,normal
-0.5334590183708154,-8.627722981900394,s0066,normal
7.261986332422261,-9.967446663552112,s0067,normal
-0.44313477642666466,2.8319043169982705,s0068,normal
8.436319605312958,-2.874507273324331,s0069,normal
3.556859265987999,2.9198117333773714,s0070,normal
16.27749438690981,-5.107359091138645,s0071,normal
-0.6685978100590477,-0.07337977087810231,s0072,normal
-0.04578510031990682,1.907623203385812,s0074,normal
3.5660545151544696,6.527336110780664,s0075,normal
-0.5109696173076503,4.397464711498862,s0076,normal
1.3772747848943545,10.05045414421477,s0077,normal
-3.390652758449371,9.24555667795791,s0078,normal
9.404927952972969,-0.07955831433053531,s0080,normal
-6.087791653658431,-2.7300774378573323,s0081,normal
-6.0184088258679544,-0.4074705466735132,s0082,normal
2.3162894170157253,-6.899430500153849,s0083,normal
4.247164699125906,-7.2833167084394566,s0084,normal
-5.03589226757692,1.9491483650494752,s0085,normal
14.070114476068403,-14.52031298158966,s0086,normal
13.68347433784953,-1.889335362604392,s0087,normal
5.11768811694867,4.49801737188234,s0088,normal
-1.3165561073601788,9.99730260275637,s0089,normal
-1.6873337082393338,8.549992766630815,s0090,normal
-5.3682534628997916,11.25580621082397,s0091,normal
5.455964769149959,2.697173467248505,s0092,normal
3.988707866658649,-1.573753202516169,s0093,normal
27.442357273051012,-17.167655291145156,s0094,normal
-7.1268341746734105,2.2160144603625813,s0096,normal
12.02486540316248,-5.495446062972117,s0097,normal
13.009819090775052,-5.902522899661647,s0098,normal
-3.2635147551383485,9.640755095811926,s0099,normal
-4.41288336344122,2.0125108026353833,s0100,normal
-5.931835120595669,9.652303448201213,s0101,normal
-3.9200335462562044,10.379694275943661,s0102,normal
-1.6490393612743024,6.506879759224079,s0103,normal
9.066028991256895,-9.499802751400214,s0104,normal
12.357401769862731,-8.227842944920289,s0105,normal
0.3719165714709971,6.808868175245028,s0106,normal
9.42333720866729,-1.8246444878620836,s0107,normal
2.8632997904963733,1.0111053982336993,s0108,normal
10.064742574013,4.581045234191389,s0109,normal
3.489007377375193,-2.0641455656420367,s0110,normal
-35.11656199439142,-15.434584001795965,s0111,normal
6.0084983869930495,2.276803904946576,s0112,normal
-1.1344250898903017,3.605531320792619,s0113,normal
8.714597388821874,-2.952949380087675,s0114,normal
-5.846056852754561,-6.362605226702465,s0115,normal
-8.353022103901694,3.597318721729244,s0116,normal
1.3094609517303881,7.16049950064338,s0117,normal
2.145832745026405,-2.9703699661012934,s0118,normal
5.603506386617918,-10.761684171316634,s0119,normal
-3.156833252800508,0.35176558596513563,s0120,normal
-4.832533110529701,2.1502769848964824,s0121,normal
7.915252049243915,-6.114826371599974,s0122,normal
7.75489118859586,0.6141011868831577,s0123,normal
-0.26398653625782836,1.8174985078854533,s0124,normal
2.860262637701164,-0.6492039056861086,s0125,normal
-10.704739635603627,-11.735829892494502,s0126,normal
2.5410298438025016,-3.8642739183668717,s0127,normal
-4.722222115526315,5.184640361765548,s0128,normal
6.907385059629199,6.488508036399727,s0129,normal
-1.435530041561654,8.724549105649714,s0130,normal
-7.405477006325027,0.8898139642781593,s0131,normal
4.334755421737857,2.0069236141312845,s0132,normal
-0.2116256460921378,2.072282381653064,s0133,normal
10.002965518373202,6.431785249955587,s0134,normal
3.9782827447051,9.03555228628023,s0135,normal
3.8788294386734763,2.037278469980847,s0136,normal
0.9078086304924528,-0.04973137344602554,s0137,normal
