Feature,Normal_Mean,Delayed_Mean,Normal_Median,Delayed_Median,Normal_STD,Delayed_STD,Mean_Difference,Relative_Difference,Standardized_Difference
RAD_square_firstorder_Maximum,221.61693008160572,141.35213560450916,236.97133031887154,141.35213560450916,54.507622074138595,6.530222635655822,-80.26479447709656,-0.36217808110375205,2.067703719998246
RAD_square_firstorder_Range,221.5935439443516,141.35066542331305,236.97039938428222,141.35066542331305,54.55788876498036,6.5316097274845415,-80.24287852103856,-0.36211740239667634,2.065255307841548
MORPH_CentroidY,144.19473684210527,70.5,138.0,70.5,47.50147838060495,17.67766952966369,-73.69473684210527,-0.5110778552392704,2.0562630816432685
RAD_logarithm_firstorder_Median,-37.93999685973355,162.11134347829602,-116.05994722938348,162.11134347829602,148.09173300364418,9.79575916627594,200.05134033802958,5.272834920812042,1.9062401885429787
RAD_squareroot_firstorder_Median,-20.229900568108985,91.6065075308095,-51.15960720806471,91.6065075308095,89.7671092841358,1.9735867765023325,111.83640809891848,5.528272752594143,1.761473164599815
RAD_logarithm_glcm_ClusterShade,488.4636613112047,-1639.2936401355878,515.2207561407338,-1639.2936401355878,1750.5168383799016,183.99128753312232,-2127.7573014467926,-4.356019638666106,1.7095626707755023
RAD_gradient_firstorder_Uniformity,0.6325825137989249,0.3992820137408345,0.6337975223985441,0.3992820137408345,0.10858963760938786,0.1838706111169475,-0.23330050005809044,-0.3688064322552039,1.545068425236703
RAD_shape2D_MinorAxisLength,137.5289147169151,37.66176676702621,155.83530171712562,37.66176676702621,91.62710645384313,21.371057697268572,-99.86714794988889,-0.7261538284903903,1.501104201974289
RAD_gradient_glcm_JointEnergy,0.5935489468907673,0.34508118633667395,0.5947498348798319,0.34508118633667395,0.12117133430349686,0.20105019192735296,-0.24846776055409336,-0.41861376692486707,1.496906842634137
RAD_squareroot_glcm_ClusterShade,149.3697385171053,-588.8852929614011,131.31865532036528,-588.8852929614011,705.4764961780934,25.494416647529004,-738.2550314785065,-4.942467187846552,1.478956725384123
MORPH_BoundingBoxHeight,131.56315789473683,45.5,172.5,45.5,73.58753712147572,38.890872965260115,-86.06315789473683,-0.6541584990193852,1.4623120895662354
RAD_gradient_glcm_MaximumProbability,0.7419574753691991,0.5155225696221468,0.751367793215314,0.5155225696221468,0.09684064634115687,0.20308963922290757,-0.22643490574705227,-0.3051858269961622,1.4232534216669637
RAD_gradient_firstorder_Entropy,0.9548540050465836,1.680710235191752,0.9458148783833854,1.680710235191752,0.2670895551515362,0.6740940770525528,0.7258562301451684,0.7601750908860033,1.415729359705728
MORPH_SkeletonLength,172.94210526315788,55.0,203.0,55.0,99.30766588476907,66.46803743153546,-117.94210526315788,-0.6819744970932482,1.3957883836957032
RAD_logarithm_firstorder_TotalEnergy,480796914.7158771,90912347.45335345,475520450.9549832,90912347.45335345,387751703.68327826,93943882.92960414,-389884567.26252365,-0.8109132054079895,1.3820097521931989
RAD_logarithm_firstorder_Energy,480796914.7158771,90912347.45335345,475520450.9549832,90912347.45335345,387751703.68327826,93943882.92960414,-389884567.26252365,-0.8109132054079895,1.3820097521931989
TEXTURE_ASM,0.9079536516754372,0.977856040926019,0.9032227801609266,0.977856040926019,0.06857014944458424,0.024633100055380993,0.06990238925058179,0.076988940034431,1.3567966614314704
MORPH_Perimeter,445.8236595091067,169.024385035038,545.3279879689217,169.024385035038,237.95414737455417,163.78174420581183,-276.7992744740687,-0.6208716575939204,1.35511305275169
RAD_shape2D_Perimeter,843.0099852800026,321.8528137423863,986.2655480083456,321.8528137423863,448.4749427021827,313.688383542069,-521.1571715376164,-0.6182099626785015,1.3466769453939404
RAD_gradient_glcm_Imc2,0.8406550386424322,0.9402943993843316,0.8573121559626136,0.9402943993843316,0.0956990244000058,0.042956093139607264,0.09963936074189939,0.11852585918113771,1.3433213897238094
RAD_gradient_firstorder_10Percentile,4.5604760320563065,6.397641181945801,4.579161643981934,6.397641181945801,1.4460218231566309,1.2864661273617872,1.8371651498894943,0.40284504006500327,1.3423964802971877
RAD_gradient_glcm_SumEntropy,1.1915021936588075,2.111660417762002,1.180900716320135,2.111660417762002,0.347472129587687,0.9051064574458362,0.9201582241031945,0.7722673352370341,1.3422211431313418
RAD_squareroot_firstorder_Energy,266383899.13713226,49782255.50664328,269409319.96760654,49782255.50664328,223438755.78468436,50635878.55747224,-216601643.630489,-0.8131183766440186,1.3370361048706723
RAD_squareroot_firstorder_TotalEnergy,266383899.13713226,49782255.50664328,269409319.96760654,49782255.50664328,223438755.78468436,50635878.55747224,-216601643.630489,-0.8131183766440186,1.3370361048706723
RAD_gradient_firstorder_Median,14.945832480882343,25.437952041625977,14.762636661529541,25.437952041625977,3.304048626857923,10.600448952265198,10.492119560743633,0.7020097123458471,1.3363520921314578
RAD_logarithm_glcm_JointAverage,10.70913008487368,13.074564984607148,10.73126802075506,13.074564984607148,2.4712160717359173,0.4419866955058209,2.3654348997334687,0.2208802097802963,1.3325324738978699
RAD_logarithm_glcm_SumAverage,21.418260169747363,26.14912996921429,21.462536041510113,26.14912996921429,4.942432143471835,0.8839733910116419,4.730869799466927,0.22088020978132705,1.3325324738978672
RAD_gradient_glcm_JointEntropy,1.246012354308848,2.225680117463592,1.2387067345584506,2.225680117463592,0.37083927383144283,0.9853747994039876,0.9796677631547439,0.7862424154048879,1.3159180788883384
TEXTURE_Dissimilarity,0.9381667439695033,0.3364044953897653,1.0608919270495014,0.3364044953897653,0.5534555820178206,0.3383087569654927,-0.601762248579738,-0.6414235554433136,1.3119572098627832
RAD_gradient_firstorder_Maximum,104.27955216671292,132.83863830566406,107.17586517333984,132.83863830566406,29.99771128574943,7.19387496188173,28.559086138951145,0.27387043332585487,1.3092686661825992
RAD_gradient_firstorder_Range,104.18214110826192,132.83863830566406,107.17586517333984,132.83863830566406,30.14333475565844,7.19387496188173,28.656497197402146,0.27506151143117663,1.307730494807685
TEXTURE_LBP_Mean,23.470389674523524,23.87215149184057,23.43290290702038,23.87215149184057,0.41183663728323916,0.13944101573557807,0.40176181731704474,0.017117816230867042,1.3067473459540158
RAD_squareroot_firstorder_Mean,-9.623455804626325,37.30594781618723,-13.28630954673994,37.30594781618723,51.11832707466803,4.725390247244979,46.92940362081355,4.876564570262309,1.2928130216595182
MORPH_Area,3923.6526315789474,876.5,4067.25,876.5,3184.787467324951,987.1210665364204,-3047.1526315789474,-0.7766112135040459,1.2924386880805248
TEXTURE_Entropy,0.5583795589847604,0.1518756082685091,0.6071426776151786,0.1518756082685091,0.4143468022384038,0.16448971685459138,-0.40650395071625134,-0.728006504003391,1.2895464002002601
RAD_firstorder_Mean,-8.140612927643021,24.36680963357373,-11.007325934735572,24.36680963357373,35.65437388402034,0.38753180928239994,32.50742256121675,3.9932401711954886,1.2893150980962673
RAD_wavelet-L_firstorder_Mean,-11.510364070815921,34.45884763821356,-15.56238668887539,34.45884763821356,50.423105430379344,0.548603497420424,45.96921170902948,3.993723519587295,1.2892191914615823
