Subject,Contrast,Correlation,Energy,Homogeneity,ASM,Dissimilarity,Entropy,LBP_Mean,LBP_STD
s0001.png,177.6625097640475,0.9858514951599513,0.6185521891657588,0.6819535653046735,0.38260877582923547,3.8281975318602104,3.9321102035285493,20.050889199365365,6.375144283537987
s0002.png,104.47278876885491,0.9816047544403075,0.9248342346250917,0.941081542926494,0.8553187475009345,1.2685632884990836,0.8776947125693998,23.180075901328273,3.2288526754830045
s0003.png,25.41983485676901,0.9098588598463382,0.9972053904232699,0.9978500464121978,0.9944185955725047,0.1247210126852101,0.03896799832791713,23.97139456418025,0.6961241450448302
s0004.png,36.55852243277131,0.9299682418658092,0.9948428020732696,0.996198947179437,0.9897122056592957,0.17527097628303065,0.06739290121432878,23.933314047992948,1.0108795543644924
s0005.png,48.05478016412129,0.9212359995763604,0.9937972317354644,0.9954664844044406,0.9876329665710095,0.2563750884215698,0.08145776063996174,23.930600811753273,1.032437085452707
s0006.png,147.17944539395597,0.9750763610611786,0.9301221500647605,0.9463769311195123,0.8651275049973519,1.3146556135622554,0.7982660731122695,23.270043031417114,3.1183837671682006
s0007.png,116.41428326407953,0.9732010844508994,0.931238702773867,0.9393261001336166,0.8672058195987642,1.3682443773519628,0.8409118371247912,23.221626869965476,3.319607590234225
s0008.png,156.19332826864468,0.9709380295400132,0.9330007041320653,0.9470847089095051,0.8704906432545649,1.3273624481580368,0.7818020019625219,23.300908275398072,3.0839966410140907
s0009.png,133.98762694230695,0.974918609722018,0.9240793525153674,0.9337547923631072,0.8539232185579783,1.474704875017958,0.9076029255110695,23.11974438368799,3.5018517177074155
s0010.png,176.3279189232076,0.9717457938256989,0.9286124220229888,0.9461670882657486,0.8623213570634636,1.3697964686492536,0.8013942655488131,23.24700395154499,3.144149420793879
s0011.png,166.62058045465605,0.9699038689271785,0.9249952019792085,0.936345051310306,0.8556167126792181,1.5009845526237418,0.8749634560910475,23.11346949003884,3.460943268598923
s0012.png,149.18533349108696,0.9730541863985294,0.9320253767508244,0.9442797348876448,0.868671550310697,1.2529327276429865,0.7977835757852738,23.19623878945913,3.2467699075835896
s0013.png,146.1866234347865,0.9763577276512581,0.922469746026398,0.9368727785521986,0.8509509048700487,1.4118305815101213,0.9014240188221959,23.111721611721613,3.4209606221319793
s0014.png,123.07523113727072,0.9796639134247992,0.9270981044371452,0.9425235892479963,0.8595113081327725,1.1915232955963435,0.8438677889364957,23.19395808289343,3.226873432503267
s0015.png,184.1696874723012,0.9698310159277315,0.9290439242907986,0.9442771751632967,0.8631229483425961,1.305271762944935,0.812086856909581,23.19188921859545,3.260747667884138
s0016.png,193.68775291282526,0.9744164628635594,0.9044689963461116,0.9247563822422815,0.8180646878442974,1.6914916937682423,1.0754175768302179,22.95920359845183,3.6821649756677823
s0017.png,129.04684993941348,0.9664169524122584,0.9596709329693274,0.9718182641978504,0.9209684385247378,0.7716916308923569,0.46635370252008224,23.575103860573513,2.3754363053870224
s0018.png,164.34149470748275,0.9754157574692092,0.9101649400262121,0.9253263234648507,0.8284006967440838,1.5719460029740173,1.0349307970253023,22.94385653409091,3.7111413305922016
s0019.png,156.65409844273074,0.9705720263976308,0.9299407250245749,0.9411213625298782,0.8647901489565482,1.4105818422675434,0.8250086873908328,23.164346384447676,3.360275560027799
s0020.png,117.47208969659843,0.9807376869257686,0.9143863890511651,0.9252977190013697,0.8361029571104085,1.471283354151394,1.0169627375937595,23.043556851311955,3.6254241777124876
s0021.png,171.99419240406172,0.9671571235559236,0.9378146225616093,0.9525385454614962,0.8794965842461115,1.3003876249414368,0.7195876649738653,23.314969445839612,3.021527109714608
s0022.png,163.70522442208872,0.9729320516943454,0.9302348907427213,0.9465128866689332,0.865337333129429,1.2954923146547523,0.7900736795384196,23.24842801985659,3.144568507370946
s0023.png,112.86770781777508,0.981785949553492,0.9145336466875966,0.9271466010647387,0.8363721446075705,1.3246892706414917,1.0095188125164647,23.026469805799415,3.603059562650619
s0024.png,211.63950635126358,0.9514231725282588,0.9422610466318457,0.9506428375910936,0.8878566107452941,1.577351142161234,0.6851639185468046,23.344030077472276,3.134638247378458
