Feature,Normal_N,Delayed_N,Normal_Mean,Delayed_Mean,U,P_Value,Effect_Size,Adjusted_P,Significant,Absolute_Effect_Size
glcm_Contrast,190,12,0.306113666844551,2.0066981838082985,350.0,5.819525615877608e-05,-0.6929824561403508,9.395081608683764e-05,True,0.6929824561403508
wavelet-L_glcm_Contrast,190,12,0.4793322873782365,3.016804175686788,351.0,5.9466003238270827e-05,-0.6921052631578948,9.559724571215688e-05,True,0.6921052631578948
glcm_DifferenceEntropy,190,12,0.8878492144053862,1.466878175328847,354.0,6.343775832553341e-05,-0.6894736842105262,0.0001015537223614,True,0.6894736842105262
ASM,190,12,0.9079536516754372,0.977037173362272,355.0,6.481657085169352e-05,-0.6885964912280702,0.000102896306227,True,0.6885964912280702
Energy,190,12,0.9520923237629302,0.9883159621093488,355.0,6.481657085169352e-05,-0.6885964912280702,0.000102896306227,True,0.6885964912280702
glcm_DifferenceAverage,190,12,0.2882847133875606,0.7879655190550677,357.0,6.765973575641121e-05,-0.6868421052631579,0.0001065221459636,True,0.6868421052631579
LBP_Mean,190,12,23.470389674523524,23.86647801805437,357.0,6.765973575641121e-05,-0.6868421052631579,0.0001065221459636,True,0.6868421052631579
gradient_glcm_Idmn,190,12,0.9974054319805796,0.9738992434891526,1922.5,6.838833065685293e-05,0.6864035087719298,0.0001072261480669,True,0.6864035087719298
square_glcm_MaximumProbability,190,12,0.5078223139268666,0.3232370760589091,1920.0,7.21466525624238e-05,0.6842105263157894,0.0001121954066378,True,0.6842105263157894
glcm_Idm,190,12,0.8576321683325786,0.7036150217177983,1920.0,7.21466525624238e-05,0.6842105263157894,0.0001121954066378,True,0.6842105263157894
glcm_Id,190,12,0.8586707173845571,0.7256506000153732,1917.0,7.691402179964609e-05,0.6815789473684211,0.0001191229362018,True,0.6815789473684211
wavelet-L_glcm_DifferenceEntropy,190,12,1.0821374336593623,1.6665058999445537,367.0,8.373515402670587e-05,-0.6780701754385965,0.0001291623226079,True,0.6780701754385965
exponential_firstorder_InterquartileRange,190,12,5.804604294324394,16.092902072349077,375.0,9.912835538190552e-05,-0.6710526315789473,0.0001516783269096,True,0.6710526315789473
squareroot_glcm_InverseVariance,190,12,0.2745448367470033,0.3809024479899885,375.0,9.912835538190552e-05,-0.6710526315789473,0.0001516783269096,True,0.6710526315789473
wavelet-L_glcm_DifferenceAverage,190,12,0.4088940613810741,1.0155246081551137,378.0,0.0001055613412191,-0.668421052631579,0.0001608754840179,True,0.668421052631579
lbp-2D_firstorder_Mean,190,12,4.304535259279225,4.055559427428447,1884.0,0.0001532229977644,0.6526315789473685,0.000232581522503,True,0.6526315789473685
gradient_firstorder_Minimum,190,12,0.097411058451,2.4723188281059265,417.0,3.781203177475736e-12,-0.6342105263157894,4.802128035394185e-10,True,0.6342105263157894
Homogeneity,190,12,0.9618898305497288,0.989132779653786,423.0,0.0002639741039596,-0.6289473684210527,0.0003991037047961,True,0.6289473684210527
wavelet-H_glcm_DifferenceEntropy,190,12,0.8123811091396191,1.3773454758526702,425.0,0.0002746319474211,-0.6271929824561404,0.0004119479211316,True,0.6271929824561404
wavelet-H_glcm_DifferenceVariance,190,12,0.1885606035532483,0.768682668209625,425.0,0.0002746319474211,-0.6271929824561404,0.0004119479211316,True,0.6271929824561404
gradient_firstorder_Skewness,190,12,1.7436056360768204,1.0986369201900943,1854.0,0.0002801108561509,0.6263157894736842,0.0004185185733078,True,0.6263157894736842
wavelet-L_glcm_Idm,190,12,0.8024995656730363,0.6509776307463565,1852.0,0.0002913773255713,0.6245614035087719,0.0004336514103229,True,0.6245614035087719
wavelet-H_glcm_JointEntropy,190,12,1.7979855400123956,2.678592800850804,450.0,0.0004467147219616,-0.6052631578947368,0.0006622502298342,True,0.6052631578947368
square_glcm_JointEnergy,190,12,0.3128250321646004,0.181288310611967,1827.0,0.0004730829039256,0.6026315789473684,0.0006986224278901,True,0.6026315789473684
wavelet-L_glcm_JointEntropy,190,12,5.6714856315941,4.071738464594081,1821.0,0.0005302303599963,0.5973684210526315,0.0007799913789908,True,0.5973684210526315
wavelet-L_glcm_Id,190,12,0.806254098829793,0.6830123193502827,1818.0,0.0005611578116909,0.5947368421052632,0.0008223120240547,True,0.5947368421052632
square_firstorder_MeanAbsoluteDeviation,190,12,35.80222056162746,23.61651225871678,1817.0,0.0005718348344657,0.593859649122807,0.0008347474020361,True,0.593859649122807
gradient_glcm_ClusterProminence,190,12,17.274902299612908,126.25948676641087,469.5,0.0006459763030419,-0.5881578947368421,0.0009393777536602,True,0.5881578947368421
exponential_firstorder_RobustMeanAbsoluteDeviation,190,12,3.4549543974054124,7.07059546814519,470.0,0.0006520380480287,-0.5877192982456141,0.000944587438399,True,0.5877192982456141
wavelet-L_firstorder_Kurtosis,190,12,2.5496677225215247,4.761984010808938,472.0,0.0006768056110677,-0.5859649122807018,0.0009767535523364,True,0.5859649122807018
exponential_firstorder_90Percentile,190,12,19.03473348468137,33.66519072536284,482.0,0.0008142987415893,-0.5771929824561404,0.0011707464926247,True,0.5771929824561404
exponential_firstorder_RootMeanSquared,190,12,12.47830368997398,21.28247066797941,490.0,0.0009424927463562,-0.5701754385964912,0.0013499614148937,True,0.5701754385964912
LBP_STD,190,12,2.478295936782281,1.4263872985269963,1787.0,0.0009952083229625,0.5675438596491229,0.0014201287305196,True,0.5675438596491229
glcm_InverseVariance,190,12,0.2741218262923454,0.3424414924899965,495.0,0.0010318546294894,-0.5657894736842105,0.0014669276635652,True,0.5657894736842105
glcm_JointEntropy,190,12,4.923254109087756,3.617043864050871,1783.0,0.0010697463303643,0.5640350877192983,0.0015151425720031,True,0.5640350877192983
logarithm_glcm_Id,190,12,0.8432906963366193,0.7764888433964758,1765.0,0.001473476216575,0.5482456140350878,0.0020715661937825,True,0.5482456140350878
firstorder_90Percentile,190,12,122.18529751929512,149.9946901446102,516.0,0.0014995768710171,-0.5473684210526315,0.0021005102494762,True,0.5473684210526315
MinThickness,190,12,6.6523547373381655,3.385618083164127,1763.0,0.0014457484946953,0.5464912280701755,0.0020401117647368,True,0.5464912280701755
squareroot_firstorder_RootMeanSquared,190,12,149.75541532676948,164.77234250776613,525.0,0.0017543884839197,-0.5394736842105263,0.0024484322797561,True,0.5394736842105263
