Model,Accuracy_Mean,Accuracy_STD,Precision_Mean,Precision_STD,Recall_Mean,Recall_STD,F1_Mean,F1_STD,ROC_AUC_Mean,ROC_AUC_STD
KNN,0.99,0.0122474487139159,1.0,0.0,0.8,0.2449489742783178,0.8666666666666666,0.1632993161855452,0.894736842105263,0.1289876414016049
Random Forest,0.985,0.02,0.9,0.2,0.8,0.2449489742783178,0.8333333333333333,0.2108185106778919,0.9592105263157894,0.05
Logistic Regression,0.9507317073170732,0.0308572734795431,0.6057142857142856,0.2045602550819285,0.8,0.2449489742783178,0.67,0.188679622641132,0.9736842105263156,0.0322301281945154
SVM,0.9554878048780489,0.0097713295726878,0.6533333333333333,0.1845113667079739,0.6333333333333333,0.19436506316151,0.6166666666666666,0.0999999999999999,0.9517543859649124,0.0339735381246264
